draw,teacher-fixed_miou,teacher-fixed_accuracy,teacher-vs-rect_NetRepair,fixed-vs-rect_NetRepair,CCA:all:mean_dm,CCA:Top20:mean_dm,CCA:class0:mean_dm,CCA:class1:mean_dm,CCA:class2:mean_dm,CCA:class3:mean_dm,CCA:all:benefit_rate,CCA-U:all:benefit_rate,CCA-U:all:mean_dm,CCA-U:Top20:mean_dm,CCA-FA:all:benefit_rate,CCA-FA:all:mean_dm,CCA-FA:Top20:mean_dm
63,0.0196189063816522,0.011167174509329044,-0.0327186385364476,-0.04388581304577664,-0.0002901050144187475,-0.0006822278819520482,-0.0003756804655330866,-0.00025137496261581357,-0.00024176487647067953,-8.448679329312352e-05,0.18141569422909967,0.0,-9.544505100082077e-05,-0.0004059361991370897,0.0010121986838198672,4.2114002675176314e-05,0.00016751502622904769
64,0.018594947597956324,0.011187987870456734,-0.03285819806828763,-0.04404618593874436,-0.00028621604081836876,-0.0006607558571807756,-0.0003613405445742206,-0.0002609986279657234,-0.00023862948651661906,-8.02171418452545e-05,0.1830916220015992,0.0,-9.087549683087137e-05,-0.0003898760086781775,0.00129123014132153,4.274428147886381e-05,0.0001692323427441815
65,0.019583908514857806,0.01149862676275644,-0.03395542554281547,-0.04545405230557191,-0.0002936538396073789,-0.000702574231264976,-0.0003662802357875666,-0.00026595890902828174,-0.00025015168498900486,-0.00010304337887572404,0.17757052532603082,0.0,-9.765500174956393e-05,-0.000418659888873034,0.001028672229265323,4.4528182110428325e-05,0.0001812702784785889
66,0.020175814517117918,0.011371705666733234,-0.03172152141779929,-0.043093227084532525,-0.0002864873812279727,-0.0006752659119425933,-0.0003614327792763599,-0.0002606904320410615,-0.0002343029163977776,-0.00010885141731728909,0.18281860968918093,0.0,-9.47458365295578e-05,-0.0004012062909898142,0.001232241963388398,4.377879901834755e-05,0.00017640388891188862
67,0.01838538237486642,0.01079081876124336,-0.03292745621555812,-0.04371827497680148,-0.0002878079939106295,-0.0006701353543122099,-0.0003581682444966665,-0.0002565941591310604,-0.0002544452063474263,-0.00011365546256028938,0.1802177813316309,0.0,-9.237574332714273e-05,-0.0003892534146833233,0.0011384716809680739,4.1878811345832303e-05,0.00016506151238471182
68,0.019758317577545204,0.011588699933383045,-0.03304626605743675,-0.04463496599081979,-0.0002883074314594737,-0.0006777853413775945,-0.0003627894287855289,-0.0002525766940806675,-0.00026984485368272015,-9.024592084209172e-05,0.18045966903540336,0.0,-9.336770323720205e-05,-0.00039926546115510574,0.0012431952527288256,4.249433477228717e-05,0.00016997719824091108
69,0.01918636408688723,0.011363283804479958,-0.03247452608998196,-0.04383780989446192,-0.00028749307896641966,-0.0006796756397477732,-0.0003665105690368654,-0.000249331796384398,-0.00025710173748172145,-8.940136291268668e-05,0.18043937332307755,0.0,-9.522016234385844e-05,-0.0004022612390421001,0.0010258464139495773,4.2285960388568516e-05,0.0001694541589451529
70,0.020417453513354444,0.011699675887357175,-0.03332542814692296,-0.04502510403428013,-0.00029154443578978113,-0.0006854866676594718,-0.00035987211454858054,-0.0002575172514244981,-0.00026662600620887446,-0.00013095003421758407,0.17728941292842562,0.0,-9.435618696404593e-05,-0.00040492870228231437,0.00120402069942657,4.403802722609511e-05,0.00017678264370399874
71,0.020397036227337906,0.011274716838554959,-0.03041365897250469,-0.04168837581105965,-0.00029160998974611224,-0.0007018508869852935,-0.00036203001231713305,-0.0002651202270122641,-0.00025488983134117494,-9.868622475514117e-05,0.1747035623853627,0.0,-9.894980183493118e-05,-0.00042404821780589946,0.0010175722739030214,4.405029158178858e-05,0.0001822249007640594
72,0.020528442614972775,0.01122174016748,-0.03187712331504677,-0.04309886348252677,-0.0002947100679778458,-0.0007088891118493916,-0.0003691700333128716,-0.0002451287971974668,-0.0002801584310001933,-0.00013608136767150297,0.17431086943909027,0.0,-9.834812921587175e-05,-0.0004233884704689381,0.0011539230159292948,4.403247731474749e-05,0.000180211111238264
