signal_set,signal,scope,scope_id,branch,samples,positive_fraction,auroc_relative_gain_positive
A,margin_mean,branch,3,camdeep,3418,0.21181977764774723,0.520722077298847
A,margin_std,all,-1,all,13672,0.24049151550614395,0.5537932503777101
A,margin_std,fold,0,all,2748,0.23071324599708878,0.5083094825244949
A,margin_std,fold,1,all,2744,0.20298833819241982,0.5644222141772954
A,margin_std,fold,2,all,2692,0.23068350668647847,0.5844322058081427
A,margin_std,fold,3,all,2724,0.19823788546255505,0.5781898656898656
A,margin_std,fold,4,all,2764,0.3386396526772793,0.5427213081411659
A,margin_std,branch,0,cam56,3418,0.22440023405500292,0.4845693022780019
A,margin_std,branch,1,cam28_1,3418,0.2864248098303101,0.5672683131325695
A,margin_std,branch,2,cam28_2,3418,0.2393212404915155,0.5743095260485236
A,margin_std,branch,3,camdeep,3418,0.21181977764774723,0.585532049941142
A,margin_p10,all,-1,all,13672,0.24049151550614395,0.4610084524338398
A,margin_p10,fold,0,all,2748,0.23071324599708878,0.4526440822636532
A,margin_p10,fold,1,all,2744,0.20298833819241982,0.5336951087665895
A,margin_p10,fold,2,all,2692,0.23068350668647847,0.3754998674277326
A,margin_p10,fold,3,all,2724,0.19823788546255505,0.46077830348663684
A,margin_p10,fold,4,all,2764,0.3386396526772793,0.5208415156445791
A,margin_p10,branch,0,cam56,3418,0.22440023405500292,0.3949472708879137
A,margin_p10,branch,1,cam28_1,3418,0.2864248098303101,0.3800323396492392
A,margin_p10,branch,2,cam28_2,3418,0.2393212404915155,0.4650752303930788
A,margin_p10,branch,3,camdeep,3418,0.21181977764774723,0.47831865984159605
A,margin_p50,all,-1,all,13672,0.24049151550614395,0.4824276375970518
A,margin_p50,fold,0,all,2748,0.23071324599708878,0.4544179706269455
A,margin_p50,fold,1,all,2744,0.20298833819241982,0.5473045801081796
A,margin_p50,fold,2,all,2692,0.23068350668647847,0.4208761277390169
A,margin_p50,fold,3,all,2724,0.19823788546255505,0.4993911952245285
A,margin_p50,fold,4,all,2764,0.3386396526772793,0.5267029727505658
A,margin_p50,branch,0,cam56,3418,0.22440023405500292,0.39559153835825894
A,margin_p50,branch,1,cam28_1,3418,0.2864248098303101,0.42526848148971785
A,margin_p50,branch,2,cam28_2,3418,0.2393212404915155,0.4967345307504232
A,margin_p50,branch,3,camdeep,3418,0.21181977764774723,0.4918747205781623
A,cam_class0_mean,all,-1,all,13672,0.24049151550614395,0.399232943415661
A,cam_class0_mean,fold,0,all,2748,0.23071324599708878,0.3300238159901393
A,cam_class0_mean,fold,1,all,2744,0.20298833819241982,0.5228451294124987
A,cam_class0_mean,fold,2,all,2692,0.23068350668647847,0.33275017086660275
A,cam_class0_mean,fold,3,all,2724,0.19823788546255505,0.32936762311762313
A,cam_class0_mean,fold,4,all,2764,0.3386396526772793,0.47363483981372384
A,cam_class0_mean,branch,0,cam56,3418,0.22440023405500292,0.3850653882301678
